rank,food,category,fiber_g_per_100g,package,package_price_usd,package_weight_g,edible_fraction,price_per_100g_usd,fiber_g_per_dollar,price_basis,nutrition_source_status,nutrition_source_type,nutrition_source_id,nutrition_source_url,nutrition_source_description,nutrition_source_form,nutrition_source_note
29,Bananas,Fresh fruit,2.6,per lb,0.65,454,0.64,0.143,11.6,BLS US avg,exact,USDA FoodData Central SR Legacy,FDC 173944,https://api.nal.usda.gov/fdc/v1/food/173944?api_key=DEMO_KEY,"Bananas, raw",Raw,
30,Peanut butter,Nuts & seeds,5.0,40 oz jar,4.97,1134,1.0,0.438,11.4,Walmart GV,unresolved,Unresolved,,,,Not resolved,The value matches salted FDC 174266 and unsalted FDC 172470; the price record does not identify the salt variant.
31,Frozen green beans,Frozen vegetables,2.7,32 oz bag,2.18,907,1.0,0.24,11.2,Walmart GV,unresolved,Unresolved,,,,Not resolved,"The dataset's 2.7 value matches a raw fresh snap-bean record, while the official frozen-unprepared record FDC 169962 is 2.6."
32,Quinoa (dry),Whole grains,7.0,2 lb bag,5.97,907,1.0,0.658,10.6,Walmart GV,exact,USDA FoodData Central SR Legacy,FDC 168874,https://api.nal.usda.gov/fdc/v1/food/168874?api_key=DEMO_KEY,"Quinoa, uncooked",Uncooked,
33,Avocado,Fresh fruit,6.7,each (~7 oz),0.95,200,0.74,0.475,10.4,Walmart,exact,USDA FoodData Central SR Legacy,FDC 171705,https://api.nal.usda.gov/fdc/v1/food/171705?api_key=DEMO_KEY,"Avocados, raw, all commercial varieties","Raw, all commercial varieties",
34,Canned pumpkin,Canned,2.9,15 oz can,1.24,425,1.0,0.292,9.9,Walmart GV,unresolved,Unresolved,,,,Not resolved,The value matches both with-salt FDC 170527 and without-salt FDC 168450; the price record does not identify the salt variant.
35,Frozen broccoli florets,Frozen vegetables,3.0,32 oz bag,2.87,907,1.0,0.316,9.5,Walmart GV,unresolved,Unresolved,,,,Not resolved,"Several chopped/spear, cooked/unprepared USDA records share 3.0 g fiber/100 g; none identifies the priced florets precisely."
36,Almonds,Nuts & seeds,12.5,16 oz bag,6.47,454,1.0,1.425,8.8,Walmart GV,exact,USDA FoodData Central SR Legacy,FDC 170567,https://api.nal.usda.gov/fdc/v1/food/170567?api_key=DEMO_KEY,"Nuts, almonds",Almonds,
37,Frozen chopped spinach,Frozen vegetables,2.9,12 oz bag,1.18,340,1.0,0.347,8.4,Walmart GV,exact,USDA FoodData Central SR Legacy,FDC 169287,https://api.nal.usda.gov/fdc/v1/food/169287?api_key=DEMO_KEY,"Spinach, frozen, chopped or leaf, unprepared (Includes foods for USDA's Food Distribution Program)","Frozen, chopped or leaf, unprepared",
38,Frozen shelled edamame,Frozen vegetables,5.2,12 oz bag,2.12,340,1.0,0.624,8.3,Walmart GV,proxy,USDA FoodData Central SR Legacy,FDC 168411,https://api.nal.usda.gov/fdc/v1/food/168411?api_key=DEMO_KEY,"Edamame, frozen, prepared","Frozen, prepared",The fiber value is from prepared frozen edamame; the price record only states frozen shelled product.
39,Prunes (dried plums),Dried fruit,7.1,16 oz bag,3.98,454,1.0,0.877,8.1,Walmart,exact,USDA FoodData Central SR Legacy,FDC 168162,https://api.nal.usda.gov/fdc/v1/food/168162?api_key=DEMO_KEY,"Plums, dried (prunes), uncooked","Dried, uncooked",
40,Pears,Fresh fruit,3.1,per lb,1.58,454,0.9,0.348,8.0,Walmart,exact,USDA FoodData Central SR Legacy,FDC 169118,https://api.nal.usda.gov/fdc/v1/food/169118?api_key=DEMO_KEY,"Pears, raw",Raw,
41,Apples (gala),Fresh fruit,2.4,per lb,1.28,454,0.9,0.282,7.7,Walmart,unresolved,Unresolved,,,,Not resolved,The dataset's 2.4 value does not match official Gala records found (2.3 in SR Legacy and about 2.1 in Foundation).
42,Chopped kale (bagged),Fresh vegetables,4.1,16 oz bag,2.48,454,1.0,0.546,7.5,Walmart,exact,USDA FoodData Central SR Legacy,FDC 168421,https://api.nal.usda.gov/fdc/v1/food/168421?api_key=DEMO_KEY,"Kale, raw",Raw,
43,Yellow onions,Fresh vegetables,1.7,per lb,1.09,454,1.0,0.24,7.1,Walmart,unresolved,Unresolved,,,,Not resolved,"The 1.7 value matches generic raw onion FDC 170000, while the official yellow-raw Foundation record is 1.9; cultivar and value do not match together."
44,Brussels sprouts,Fresh vegetables,3.8,per lb,2.48,454,1.0,0.546,7.0,Walmart,exact,USDA FoodData Central SR Legacy,FDC 170383,https://api.nal.usda.gov/fdc/v1/food/170383?api_key=DEMO_KEY,"Brussels sprouts, raw",Raw,
45,Oranges (navel),Fresh fruit,2.4,per lb,1.18,454,0.73,0.26,6.7,Walmart,unresolved,Unresolved,,,,Not resolved,The dataset's 2.4 value does not match official navel-orange records found (2.2 in SR Legacy and 2.0 in Foundation).
46,Russet potatoes (with skin),Fresh vegetables,1.3,per lb,0.89,454,1.0,0.196,6.6,BLS US avg,exact,USDA FoodData Central SR Legacy,FDC 170027,https://api.nal.usda.gov/fdc/v1/food/170027?api_key=DEMO_KEY,"Potatoes, russet, flesh and skin, raw (Includes foods for USDA's Food Distribution Program)","Flesh and skin, raw",
47,Raisins,Dried fruit,3.7,20 oz canister,3.34,567,1.0,0.589,6.3,Walmart GV,exact,USDA FoodData Central Foundation,FDC 2758980,https://api.nal.usda.gov/fdc/v1/food/2758980?api_key=DEMO_KEY,"Raisins, dark, seedless","Dark, seedless","The official April 2026 Foundation value is 3.679 g/100 g, which rounds to the dataset's one-decimal 3.7."
48,Fresh broccoli crowns,Fresh vegetables,2.6,per lb,1.94,454,1.0,0.427,6.1,Walmart,proxy,USDA FoodData Central SR Legacy,FDC 170379,https://api.nal.usda.gov/fdc/v1/food/170379?api_key=DEMO_KEY,"Broccoli, raw",Raw,The USDA record is generic raw broccoli; the priced product was broccoli crowns.
49,Chopped dates,Dried fruit,8.0,8 oz bag,2.98,227,1.0,1.313,6.1,Walmart,proxy,USDA FoodData Central SR Legacy,FDC 171726,https://api.nal.usda.gov/fdc/v1/food/171726?api_key=DEMO_KEY,"Dates, deglet noor",Deglet Noor,The exact value is from Deglet Noor dates; the price record says chopped dates without naming the variety.
50,Raspberries,Fresh fruit,6.5,6 oz box,2.48,170,1.0,1.459,4.5,Walmart,exact,USDA FoodData Central SR Legacy,FDC 167755,https://api.nal.usda.gov/fdc/v1/food/167755?api_key=DEMO_KEY,"Raspberries, raw",Raw,
51,Blackberries,Fresh fruit,5.3,6 oz box,2.28,170,1.0,1.341,4.0,Walmart,exact,USDA FoodData Central SR Legacy,FDC 173946,https://api.nal.usda.gov/fdc/v1/food/173946?api_key=DEMO_KEY,"Blackberries, raw",Raw,
52,Strawberries,Fresh fruit,2.0,16 oz box,2.48,454,0.94,0.546,3.4,Walmart,exact,USDA FoodData Central SR Legacy,FDC 167762,https://api.nal.usda.gov/fdc/v1/food/167762?api_key=DEMO_KEY,"Strawberries, raw",Raw,
53,Blueberries,Fresh fruit,2.4,pint (11 oz),2.98,312,1.0,0.955,2.5,Walmart,exact,USDA FoodData Central SR Legacy,FDC 171711,https://api.nal.usda.gov/fdc/v1/food/171711?api_key=DEMO_KEY,"Blueberries, raw",Raw,
