rank,food,category,fiber_g_per_100g,package,package_price_usd,package_weight_g,edible_fraction,price_per_100g_usd,fiber_g_per_dollar,price_basis,nutrition_source_status,nutrition_source_type,nutrition_source_id,nutrition_source_url,nutrition_source_description,nutrition_source_form,nutrition_source_note
23,"Carrots (whole, bagged)",Fresh vegetables,2.8,2 lb bag,1.58,907,1.0,0.174,16.1,Walmart,exact,USDA FoodData Central SR Legacy,FDC 170393,https://api.nal.usda.gov/fdc/v1/food/170393?api_key=DEMO_KEY,"Carrots, raw",Raw,
24,Green cabbage,Fresh vegetables,2.5,per lb,0.78,454,1.0,0.172,14.6,Walmart,exact,USDA FoodData Central SR Legacy,FDC 169975,https://api.nal.usda.gov/fdc/v1/food/169975?api_key=DEMO_KEY,"Cabbage, raw",Raw,
25,Sweet potatoes,Fresh vegetables,3.0,per lb,0.98,454,1.0,0.216,13.9,Walmart,exact,USDA FoodData Central SR Legacy,FDC 168482,https://api.nal.usda.gov/fdc/v1/food/168482?api_key=DEMO_KEY,"Sweet potato, raw, unprepared (Includes foods for USDA's Food Distribution Program)","Raw, unprepared",
26,Dry roasted peanuts,Nuts & seeds,8.4,16 oz jar,2.78,454,1.0,0.612,13.7,Walmart GV,proxy,USDA FoodData Central SR Legacy,FDC 174262,https://api.nal.usda.gov/fdc/v1/food/174262?api_key=DEMO_KEY,"Peanuts, all types, dry-roasted, with salt","All types, dry-roasted, with salt","The price record does not identify the salt variant, so the record is not uniquely identified. The ambiguity does not affect this dataset: the with-salt record FDC 174262 and the without-salt record FDC 173806 both publish 8.4 g fiber per 100 g and are identical on every proximate except sodium (410 mg vs 6 mg). The salted record is cited as the more common retail form."
27,Sunflower seed kernels,Nuts & seeds,8.6,16 oz bag,2.98,454,1.0,0.656,13.1,Walmart,exact,USDA FoodData Central SR Legacy,FDC 170562,https://api.nal.usda.gov/fdc/v1/food/170562?api_key=DEMO_KEY,"Seeds, sunflower seed kernels, dried","Sunflower seed kernels, dried",
28,Bananas,Fresh fruit,2.6,per lb,0.65,454,0.64,0.143,11.6,BLS US avg July 2026 (APU0000711211),exact,USDA FoodData Central SR Legacy,FDC 173944,https://api.nal.usda.gov/fdc/v1/food/173944?api_key=DEMO_KEY,"Bananas, raw",Raw,
29,Peanut butter,Nuts & seeds,5.0,40 oz jar,4.97,1134,1.0,0.438,11.4,Walmart GV,proxy,USDA FoodData Central SR Legacy,FDC 174266,https://api.nal.usda.gov/fdc/v1/food/174266?api_key=DEMO_KEY,"Peanut butter, smooth style, with salt (Includes foods for USDA's Food Distribution Program)","Smooth style, with salt","The price record does not identify the salt variant, so the record is not uniquely identified. The ambiguity does not affect this dataset: the with-salt record FDC 174266 and the without-salt record FDC 172470 both publish 5.0 g fiber per 100 g and are identical on every proximate except sodium (426 mg vs 17 mg). The salted record is cited as the more common retail form."
30,Frozen green beans,Frozen vegetables,2.6,32 oz bag,2.18,907,1.0,0.24,10.8,Walmart GV,exact,USDA FoodData Central SR Legacy,FDC 169962,https://api.nal.usda.gov/fdc/v1/food/169962?api_key=DEMO_KEY,"Beans, snap, green, frozen, all styles, unprepared (Includes foods for USDA's Food Distribution Program)","Frozen, all styles, unprepared","Corrected from 2.7, which is the raw fresh record FDC 169961 (Beans, snap, green, raw); the bag is priced as sold, so the frozen unprepared record is the correct basis."
31,Quinoa (dry),Whole grains,7.0,2 lb bag,5.97,907,1.0,0.658,10.6,Walmart GV,exact,USDA FoodData Central SR Legacy,FDC 168874,https://api.nal.usda.gov/fdc/v1/food/168874?api_key=DEMO_KEY,"Quinoa, uncooked",Uncooked,
32,Avocado,Fresh fruit,6.7,each (~7 oz),0.95,200,0.74,0.475,10.4,Walmart,exact,USDA FoodData Central SR Legacy,FDC 171705,https://api.nal.usda.gov/fdc/v1/food/171705?api_key=DEMO_KEY,"Avocados, raw, all commercial varieties","Raw, all commercial varieties",
33,Canned pumpkin,Canned,2.9,15 oz can,1.24,425,1.0,0.292,9.9,Walmart GV,proxy,USDA FoodData Central SR Legacy,FDC 168450,https://api.nal.usda.gov/fdc/v1/food/168450?api_key=DEMO_KEY,"Pumpkin, canned, without salt","Canned, without salt","Canned pumpkin, not fresh (FDC 168448, 0.5) and not pumpkin pie mix (FDC 169273, 8.3). The with-salt record FDC 170527 publishes the identical 2.9 g/100 g, so the fiber figure does not depend on the salt variant; the salt variant of the priced product was not verified."
34,100% whole wheat bread,Whole grains,6.0,20 oz loaf,3.52,567,1.0,0.621,9.7,BLS US avg May 2026 (APU0000702212),exact,USDA FoodData Central SR Legacy,FDC 172688,https://api.nal.usda.gov/fdc/v1/food/172688?api_key=DEMO_KEY,"Bread, whole-wheat, commercially prepared","Whole-wheat, commercially prepared",
35,Frozen broccoli florets,Frozen vegetables,3.0,32 oz bag,2.87,907,1.0,0.316,9.5,Walmart GV,proxy,USDA FoodData Central SR Legacy,FDC 169968,https://api.nal.usda.gov/fdc/v1/food/169968?api_key=DEMO_KEY,"Broccoli, frozen, chopped, unprepared","Frozen, chopped, unprepared","USDA publishes no florets cut. Both frozen unprepared cuts, chopped FDC 169968 and spears FDC 169970, publish the identical 3.0 g/100 g, so the cut style does not change the figure; the bag is priced as sold, so the unprepared basis is used rather than cooked/boiled."
36,Almonds,Nuts & seeds,12.5,16 oz bag,6.47,454,1.0,1.425,8.8,Walmart GV,exact,USDA FoodData Central SR Legacy,FDC 170567,https://api.nal.usda.gov/fdc/v1/food/170567?api_key=DEMO_KEY,"Nuts, almonds",Almonds,
37,Frozen chopped spinach,Frozen vegetables,2.9,12 oz bag,1.18,340,1.0,0.347,8.4,Walmart GV,exact,USDA FoodData Central SR Legacy,FDC 169287,https://api.nal.usda.gov/fdc/v1/food/169287?api_key=DEMO_KEY,"Spinach, frozen, chopped or leaf, unprepared (Includes foods for USDA's Food Distribution Program)","Frozen, chopped or leaf, unprepared",
38,Frozen shelled edamame,Frozen vegetables,5.2,12 oz bag,2.12,340,1.0,0.624,8.3,Walmart GV,unresolved,Unresolved,,,,Not resolved,"Form mismatch. The 5.2 value comes from FDC 168411 'Edamame, frozen, prepared', which is the COOKED record, while the priced 12 oz bag is sold frozen and unprepared. The form-matching record, FDC 168410 'Edamame, frozen, unprepared', reports 4.8 g fiber per 100 g, not 5.2, and that is the record the protein dataset already cites for this identical package. Cooked and unprepared are not interchangeable, and the published 5.2 cannot be tied to a form-matching record, so this row is unresolved."
39,Prunes (dried plums),Dried fruit,7.1,16 oz bag,3.98,454,1.0,0.877,8.1,Walmart,exact,USDA FoodData Central SR Legacy,FDC 168162,https://api.nal.usda.gov/fdc/v1/food/168162?api_key=DEMO_KEY,"Plums, dried (prunes), uncooked","Dried, uncooked",
40,Pears,Fresh fruit,3.1,per lb,1.58,454,0.9,0.348,8.0,Walmart,exact,USDA FoodData Central SR Legacy,FDC 169118,https://api.nal.usda.gov/fdc/v1/food/169118?api_key=DEMO_KEY,"Pears, raw",Raw,
41,Chopped kale (bagged),Fresh vegetables,4.1,16 oz bag,2.48,454,1.0,0.546,7.5,Walmart,exact,USDA FoodData Central SR Legacy,FDC 168421,https://api.nal.usda.gov/fdc/v1/food/168421?api_key=DEMO_KEY,"Kale, raw",Raw,
42,Apples (gala),Fresh fruit,2.3,per lb,1.28,454,0.9,0.282,7.3,Walmart,exact,USDA FoodData Central SR Legacy,FDC 168204,https://api.nal.usda.gov/fdc/v1/food/168204?api_key=DEMO_KEY,"Apples, raw, gala, with skin (Includes foods for USDA's Food Distribution Program)","Raw, gala, with skin","Corrected from 2.4, which is the generic record FDC 171688 (Apples, raw, with skin); the cultivar-specific gala record is the match for the priced product."
43,Yellow onions,Fresh vegetables,1.7,per lb,1.09,454,1.0,0.24,7.1,Walmart,proxy,USDA FoodData Central SR Legacy,FDC 170000,https://api.nal.usda.gov/fdc/v1/food/170000?api_key=DEMO_KEY,"Onions, raw",Raw,"Generic raw onion; SR Legacy has no yellow raw record, only Onions, yellow, sauteed (FDC 170004), which is the wrong form. Note: edible_fraction is 1.0 here while other trimmed produce rows carry a refuse adjustment; refuse is not published on the portal-data endpoint, so this was left unchanged rather than guessed."
44,Brussels sprouts,Fresh vegetables,3.8,per lb,2.48,454,1.0,0.546,7.0,Walmart,exact,USDA FoodData Central SR Legacy,FDC 170383,https://api.nal.usda.gov/fdc/v1/food/170383?api_key=DEMO_KEY,"Brussels sprouts, raw",Raw,
45,Russet potatoes (with skin),Fresh vegetables,1.3,per lb,0.94,454,1.0,0.207,6.3,BLS US avg July 2026 (APU0000712112),exact,USDA FoodData Central SR Legacy,FDC 170027,https://api.nal.usda.gov/fdc/v1/food/170027?api_key=DEMO_KEY,"Potatoes, russet, flesh and skin, raw (Includes foods for USDA's Food Distribution Program)","Flesh and skin, raw",
46,Raisins,Dried fruit,3.7,20 oz canister,3.34,567,1.0,0.589,6.3,Walmart GV,exact,USDA FoodData Central Foundation,FDC 2758980,https://api.nal.usda.gov/fdc/v1/food/2758980?api_key=DEMO_KEY,"Raisins, dark, seedless","Dark, seedless","The official April 2026 Foundation value is 3.679 g/100 g, which rounds to the dataset's one-decimal 3.7."
47,Fresh broccoli crowns,Fresh vegetables,2.6,per lb,1.94,454,1.0,0.427,6.1,Walmart,proxy,USDA FoodData Central SR Legacy,FDC 170379,https://api.nal.usda.gov/fdc/v1/food/170379?api_key=DEMO_KEY,"Broccoli, raw",Raw,"The USDA record is generic raw broccoli, whose 2.6 g fiber per 100 g is a whole-head composite including the thick lower stalk; the priced product was crowns, which are florets plus a short stem. USDA publishes no crowns-specific record, so the row stays a proxy."
48,Chopped dates,Dried fruit,8.0,8 oz bag,2.98,227,1.0,1.313,6.1,Walmart,proxy,USDA FoodData Central SR Legacy,FDC 171726,https://api.nal.usda.gov/fdc/v1/food/171726?api_key=DEMO_KEY,"Dates, deglet noor",Deglet Noor,"The 8.0 g fiber per 100 g is the Deglet Noor record, but the priced 8 oz bag says only 'chopped dates' without naming the variety. Variety matters here: USDA's Medjool record reports 6.7 g fiber per 100 g, so an unnamed-variety bag cannot be pinned to 8.0, and the row stays a proxy."
49,Oranges (navel),Fresh fruit,2.2,per lb,1.54,454,0.73,0.339,4.7,BLS US avg June 2026 (APU0000711311),exact,USDA FoodData Central SR Legacy,FDC 169917,https://api.nal.usda.gov/fdc/v1/food/169917?api_key=DEMO_KEY,"Oranges, raw, navels (Includes foods for USDA's Food Distribution Program)","Raw, navels","Corrected from 2.4, which is the generic record FDC 169097 (Oranges, raw, all commercial varieties); the navel-specific record is the match. edible_fraction 0.73 left unchanged: refuse is not published on the portal-data endpoint, so it could not be re-verified."
50,Raspberries,Fresh fruit,6.5,6 oz box,2.48,170,1.0,1.459,4.5,Walmart,exact,USDA FoodData Central SR Legacy,FDC 167755,https://api.nal.usda.gov/fdc/v1/food/167755?api_key=DEMO_KEY,"Raspberries, raw",Raw,
51,Blackberries,Fresh fruit,5.3,6 oz box,2.28,170,1.0,1.341,4.0,Walmart,exact,USDA FoodData Central SR Legacy,FDC 173946,https://api.nal.usda.gov/fdc/v1/food/173946?api_key=DEMO_KEY,"Blackberries, raw",Raw,
52,Strawberries,Fresh fruit,2.0,16 oz box,3.21,454,0.94,0.707,2.7,BLS US avg July 2026 (APU0000711415),exact,USDA FoodData Central SR Legacy,FDC 167762,https://api.nal.usda.gov/fdc/v1/food/167762?api_key=DEMO_KEY,"Strawberries, raw",Raw,
53,Blueberries,Fresh fruit,2.4,pint (11 oz),2.98,312,1.0,0.955,2.5,Walmart,exact,USDA FoodData Central SR Legacy,FDC 171711,https://api.nal.usda.gov/fdc/v1/food/171711?api_key=DEMO_KEY,"Blueberries, raw",Raw,
