prospect_id,priority,organization,contact_name,segment,relevance_url,contact_route,contact_url,asset,angle,attainability,status,sent_at,followup_due,response_status,earned_link_url,notes
FB-011,P0,FoodPrint,Editorial team,Food systems media,https://foodprint.org/blog/simple-ways-to-turn-kitchen-scraps-into-delicious-soups/,editors@foodprint.org,https://foodprint.org/contact-us/,fiber-per-dollar dataset,"Pitch the economics of dry staples versus fragile fresh produce",4,researched,,,,,,"Official pitch page seeks US consumer service reporting and a why-now angle"
FB-012,P0,Today's Dietitian,Heather Davis,Dietitian trade media,https://www.todaysdietitian.com/writers-guidelines/,TDeditor@gvpub.com,https://www.todaysdietitian.com/writers-guidelines/,fiber-per-dollar dataset,"Query a Community Matters or Research Briefs item on open grocery-cost data",4,researched,,,,,,"Guidelines accept queries and encourage charts and tables; disclose site affiliation"
FB-013,P1,Civil Eats,Features desk,Food policy media,https://civileats.com/about/how-to-pitch-civil-eats/,pitches@civileats.com,https://civileats.com/about/faq-for-contributors/,fiber-per-dollar dataset,"Offer the dataset as a source for reporting on food affordability",3,researched,,,,,,"Do not send an AI-written pitch; their policy requests disclosure and prefers no generative AI"
FB-014,P1,Food Tank,Editorial team,Food systems media,https://foodtank.com/write-for-us/,info@foodtank.com,https://foodtank.com/write-for-us/,fiber-per-dollar dataset,"Pitch a short data-led article on affordable pulse and whole-grain staples",3,researched,,,,,,"Follow exact subject line and submission requirements; disclose affiliation"
FB-015,P1,Nutrition Insight,Editorial desk,Nutrition industry media,https://www.nutritioninsight.com/aboutus.html,editorial@cnsmedia.com,https://www.nutritioninsight.com/contactus.html,fiber-per-dollar dataset,"Send a research and data tip about consumer affordability of fiber foods",3,researched,,,,,,"Editorial route is public; frame as consumer price data not a health claim"
FB-016,P1,Food Research and Action Center,SNAP Challenge team,Anti-hunger nonprofit,https://frac.org/snap-challenge,snapchallenge@frac.org,https://frac.org/snap-challenge,budget fiber guide,"Offer the open table as optional background for SNAP Challenge participants",3,researched,,,,,,"Avoid implying the sample day is a complete SNAP menu"
FB-017,P1,No Kid Hungry,Center for Best Practices team,Anti-hunger nonprofit,https://bestpractices.nokidhungry.org/resources-and-research/recipe-food-skills-handouts-share-alongside-summer-meals,press@strength.org,https://www.nokidhungry.org/contact-us,fiber-per-dollar dataset,"Offer a source table for affordable bean and whole-grain handouts",3,researched,,,,,,"Press route is public but ask for the correct resource editor if needed"
FB-018,P1,University of Minnesota Extension,Cooking Matters Minnesota team,Extension education,https://extension.umn.edu/nutrition-and-healthy-eating/cooking-matters-minnesota-0,extension@umn.edu,https://extension.umn.edu/nutrition-and-healthy-eating/cooking-matters-minnesota-0,fiber-per-dollar dataset,"Offer the dataset for limited-budget grocery-store teaching",3,researched,,,,,,"Program teaches unit pricing food labels and shopping on a limited budget"
FB-019,P1,Academy of Nutrition and Dietetics,EatRight content team,Professional association,https://www.eatright.org/food/planning/food-security-and-sustainability/10-tips-for-eating-right-affordably,media@eatright.org,https://www.eatright.org/contact-us-org,fiber-per-dollar dataset,"Suggest an audited external data reference for its affordable-eating coverage",3,researched,,,,,,"Ask media relations to route to consumer content; no claim of Academy endorsement"
FB-020,P1,AARP The Magazine,Food and consumerism desk,Consumer media,https://www.aarp.org/about-aarp/writers-guidelines-aarp-magazine/,pubspitches@aarp.org,https://www.aarp.org/about-aarp/writers-guidelines-aarp-magazine/,budget fiber guide,"Pitch pantry staples that stretch a grocery dollar for readers over 50",3,researched,,,,,,"Requires a US-based human writer and rejects AI-generated pitches; human rewrite required"
FB-021,P1,NerdWallet,Personal finance editorial team,Personal finance media,https://www.nerdwallet.com/finance/learn/ways-to-save-money-on-food-groceries,press@nerdwallet.com,https://www.nerdwallet.com/finance/learn/ways-to-save-money-on-food-groceries,fiber-per-dollar dataset,"Offer open cost data for its grocery-savings guide or future reporting",3,researched,,,,,,"Press route is public; ask to route the data tip to budgeting and shopping"
FB-022,P2,The Penny Hoarder,Mackenzie Raetz,Personal finance media,https://www.thepennyhoarder.com/staff/,contact form,https://www.thepennyhoarder.com/contact/,one-dollar-fiber study,"Data tip for a grocery-budget update centered on what one dollar buys",3,researched,,,,,,"Current staff page lists senior editor of freelance; use contact form rather than old addresses"
FB-023,P2,Clark.com,Jennifer Hutcheson,Consumer finance media,https://clark.com/shopping-retail/tips-to-save-on-groceries-reduce-spending/,contact form,https://clark.com/connect/,fiber-per-dollar dataset,"Offer a source-backed pantry-value section for its grocery savings guide",3,researched,,,,,,"Connect page identifies the senior editor and provides a team form"
FB-024,P2,Supermarket News,Chloe Riley,Grocery trade media,https://www.supermarketnews.com/contact-supermarket-news,editorial contact page,https://www.supermarketnews.com/contact-supermarket-news,fiber-per-dollar dataset,"Send a newsroom tip on where low-cost pantry staples outperform fresh produce per dollar",2,researched,,,,,,"Public page lists editorial team but no direct newsroom email"
FB-025,P2,Cheapism,Freelance editorial team,Consumer savings media,https://www.cheapism.com/jobs/,jobs@cheapism.com,https://www.cheapism.com/jobs/,one-dollar-fiber study,"Pitch a reported grocery-value story using the open dataset",2,researched,,,,,,"Route is a freelancer application inbox, so use only for a genuine bylined pitch"
