slug,cluster,evidence_source,gsc_impressions,gsc_best_position,current_weakness,cannibalization_risk,inbound_internal_links,visual_state,words,recommended_action,impact_score,confidence_score,effort_score,core_excluded
sheet-pan-salmon-and-vegetables-30-minutes,fiber,gsc-2026-06-29,18,6.9,slow_opener;thin,low,1,hero_only,536,rewrite_opener_and_intent,8.4,0.9,1,False
how-to-preheat-skillet-even-browning,fiber,gsc-2026-06-29,17,15.1,slow_opener,low,2,hero_only,854,rewrite_opener_and_intent,8.2,0.9,1,False
keep-berries-fresh-longer-when-to-wash,budget,gsc-2026-06-29,14,23.9,slow_opener;no_question_h2s,best-way-to-store-avocados-to-stop-browning(3),1,hero_only,814,rewrite_opener_and_intent,7.6,0.9,1,False
high-fiber-yogurt-parfait-for-breakfast,fiber,gsc-2026-06-29,25,37.0,slow_opener,easy-high-fiber-breakfast-ideas-for-gut-health(3),1,hero_only,873,rewrite_opener_and_intent,7.0,0.9,1,False
big-flavor-less-salt-citrus-herbs-umami-swaps,fiber,gsc-2026-06-29,10,8.8,slow_opener;no_question_h2s,low,1,hero_only,746,rewrite_opener_and_intent,6.7,0.9,1,False
chia-pudding-variations-for-breakfast,fiber,gsc-2026-06-29,10,11.0,hero_only_longform;no_tables,savory-chia-seed-recipes-breakfast(3),3,hero_only,1279,strengthen_and_interlink,6.7,0.9,2,False
how-to-quick-soak-dried-beans-same-day,fiber,gsc-2026-06-29,18,77.5,none,low,5,hero_only,858,strengthen_and_interlink,6.2,0.9,1,False
how-much-protein-in-bagel-sandwich,protein,gsc-2026-06-29,7,9.6,slow_opener;no_question_h2s,high-protein-bagel-sandwich-ideas-lunch(3),3,hero_only,875,rewrite_opener_and_intent,6.0,0.9,1,False
high-fiber-smoothies-for-kids-picky-eaters,fiber,gsc-2026-06-29,7,4.8,slow_opener,high-fiber-dinner-recipes-picky-kids(4),2,hero_only,902,rewrite_opener_and_intent,6.0,0.9,2,False
best-breakfast-foods-for-sustained-energy,fiber,gsc-2026-06-29,15,71.4,slow_opener;thin,low,1,hero_only,649,rewrite_opener_and_intent,5.9,0.9,1,False
high-fiber-pasta-alternatives,fiber,gsc-2026-06-29,6,7.0,slow_opener;no_question_h2s,low,3,hero_only,846,rewrite_opener_and_intent,5.7,0.9,1,False
fiber-rich-soup-for-weight-loss-cabbage,fiber,gsc-2026-06-29,5,6.6,slow_opener;hero_only_longform;no_tables,low,1,hero_only,1385,rewrite_opener_and_intent,5.4,0.9,2,False
healthy-egg-sandwich-add-ins-toppings,fiber,gsc-2026-06-29,4,19.2,no_question_h2s,macronutrient-breakdown-healthy-egg-sandwich(3),3,hero_only,797,strengthen_and_interlink,5.0,0.9,1,False
high-fiber-hummus-recipe-homemade,fiber,gsc-2026-06-29,4,7.7,slow_opener;no_question_h2s,high-fiber-gluten-free-bread-recipe(3),1,hero_only,837,rewrite_opener_and_intent,5.0,0.9,1,False
lentil-curry-high-fiber-vegan-dinner,fiber,gsc-2026-06-29,4,18.0,slow_opener,high-fiber-dinner-recipes-picky-kids(3),1,hero_only,888,rewrite_opener_and_intent,5.0,0.9,1,False
savory-chia-seed-recipes-breakfast,fiber,gsc-2026-06-29,9,41.2,slow_opener,chia-pudding-variations-for-breakfast(3),1,hero_only,889,rewrite_opener_and_intent,5.0,0.9,1,False
how-to-pack-salad-for-work-not-soggy,protein,gsc-2026-06-29,4,7.5,no_question_h2s,low,1,hero_only,1007,strengthen_and_interlink,5.0,0.9,2,False
whole-wheat-vs-white-pasta-fiber,fiber,gsc-2026-06-29,8,42.1,slow_opener,low,1,hero_only,917,rewrite_opener_and_intent,4.8,0.9,2,False
