bucket,gsc_action,url,live_status,redirect_location,final_url,final_status,canonical,robots,priority,url_kind,recommended_action,canonical_slug,gsc_impressions,bing_impressions,gsc_position,note,error
03_validate_redirect_fix_in_gsc,Coverage issue > Validate fix when this URL appears in GSC,https://www.daily-life-hacks.com/sourdough-discard-nutrition-facts-health-benefits/,301,https://www.daily-life-hacks.com/easy-sourdough-discard-recipes-beginners/,https://www.daily-life-hacks.com/easy-sourdough-discard-recipes-beginners/,200,https://www.daily-life-hacks.com/easy-sourdough-discard-recipes-beginners/,"index, follow, max-image-preview:large, max-snippet:-1",P1,legacy_redirect,validate_legacy_301_target,easy-sourdough-discard-recipes-beginners,45,,8.62,Live URL now redirects to the canonical target.,
03_validate_redirect_fix_in_gsc,Coverage issue > Validate fix when this URL appears in GSC,https://www.daily-life-hacks.com/rotisserie-chicken-nutrition-facts-sodium-content/,301,https://www.daily-life-hacks.com/costco-rotisserie-chicken-meal-ideas-dinner/,https://www.daily-life-hacks.com/costco-rotisserie-chicken-meal-ideas-dinner/,200,https://www.daily-life-hacks.com/costco-rotisserie-chicken-meal-ideas-dinner/,"index, follow, max-image-preview:large, max-snippet:-1",P1,legacy_redirect,validate_legacy_301_target,costco-rotisserie-chicken-meal-ideas-dinner,38,,12.05,Live URL now redirects to the canonical target.,
03_validate_redirect_fix_in_gsc,Coverage issue > Validate fix when this URL appears in GSC,https://www.daily-life-hacks.com/best-low-cost-protein-sources-large-families,301,https://www.daily-life-hacks.com/best-low-cost-protein-sources-large-families/,https://www.daily-life-hacks.com/best-low-cost-protein-sources-large-families/,200,https://www.daily-life-hacks.com/best-low-cost-protein-sources-large-families/,"index, follow, max-image-preview:large, max-snippet:-1",P1,article,validate_current_301_to_canonical_url,best-low-cost-protein-sources-large-families,28,,22.29,Live URL now redirects to the canonical target.,
03_validate_redirect_fix_in_gsc,Coverage issue > Validate fix when this URL appears in GSC,https://www.daily-life-hacks.com/cheap-crockpot-meals-large-families,301,https://www.daily-life-hacks.com/cheap-crockpot-meals-large-families/,https://www.daily-life-hacks.com/cheap-crockpot-meals-large-families/,200,https://www.daily-life-hacks.com/cheap-crockpot-meals-large-families/,"index, follow, max-image-preview:large, max-snippet:-1",P1,article,validate_current_301_to_canonical_url,cheap-crockpot-meals-large-families,23,,44.61,Live URL now redirects to the canonical target.,
03_validate_redirect_fix_in_gsc,Coverage issue > Validate fix when this URL appears in GSC,https://www.daily-life-hacks.com/how-to-double-recipe-seasoning-without-guessing,301,https://www.daily-life-hacks.com/how-to-double-recipe-seasoning-without-guessing/,https://www.daily-life-hacks.com/how-to-double-recipe-seasoning-without-guessing/,200,https://www.daily-life-hacks.com/how-to-double-recipe-seasoning-without-guessing/,"index, follow, max-image-preview:large, max-snippet:-1",P1,article,validate_current_301_to_canonical_url,how-to-double-recipe-seasoning-without-guessing,21,,9.0,Live URL now redirects to the canonical target.,
03_validate_redirect_fix_in_gsc,Coverage issue > Validate fix when this URL appears in GSC,https://www.daily-life-hacks.com/baking-sheet-liners-parchment-silicone-when-to-use,301,https://www.daily-life-hacks.com/baking-sheet-liners-parchment-silicone-when-to-use/,https://www.daily-life-hacks.com/baking-sheet-liners-parchment-silicone-when-to-use/,200,https://www.daily-life-hacks.com/baking-sheet-liners-parchment-silicone-when-to-use/,"index, follow, max-image-preview:large, max-snippet:-1",P1,article,validate_current_301_to_canonical_url,baking-sheet-liners-parchment-silicone-when-to-use,20,,27.05,Live URL now redirects to the canonical target.,
03_validate_redirect_fix_in_gsc,Coverage issue > Validate fix when this URL appears in GSC,https://www.daily-life-hacks.com/oatmeal-vs-grits-fiber-content-guide/,301,https://www.daily-life-hacks.com/oatmeal-vs-grits-fiber-content/,https://www.daily-life-hacks.com/oatmeal-vs-grits-fiber-content/,200,https://www.daily-life-hacks.com/oatmeal-vs-grits-fiber-content/,"index, follow, max-image-preview:large, max-snippet:-1",P1,legacy_redirect,validate_legacy_301_target,oatmeal-vs-grits-fiber-content,14,,23.14,Live URL now redirects to the canonical target.,
03_validate_redirect_fix_in_gsc,Coverage issue > Validate fix when this URL appears in GSC,https://www.daily-life-hacks.com/prebiotic-foods-beyond-the-buzzwords,301,https://www.daily-life-hacks.com/prebiotic-foods-beyond-the-buzzwords/,https://www.daily-life-hacks.com/prebiotic-foods-beyond-the-buzzwords/,200,https://www.daily-life-hacks.com/prebiotic-foods-beyond-the-buzzwords/,"index, follow, max-image-preview:large, max-snippet:-1",P1,article,validate_current_301_to_canonical_url,prebiotic-foods-beyond-the-buzzwords,11,,10.27,Live URL now redirects to the canonical target.,
03_validate_redirect_fix_in_gsc,Coverage issue > Validate fix when this URL appears in GSC,https://www.daily-life-hacks.com/oatmeal-vs-grits-fiber-content,301,https://www.daily-life-hacks.com/oatmeal-vs-grits-fiber-content/,https://www.daily-life-hacks.com/oatmeal-vs-grits-fiber-content/,200,https://www.daily-life-hacks.com/oatmeal-vs-grits-fiber-content/,"index, follow, max-image-preview:large, max-snippet:-1",P2,article,validate_current_301_to_canonical_url,oatmeal-vs-grits-fiber-content,8,,9.0,Live URL now redirects to the canonical target.,
03_validate_redirect_fix_in_gsc,Coverage issue > Validate fix when this URL appears in GSC,https://www.daily-life-hacks.com/costco-rotisserie-chicken-meal-ideas-dinner,301,https://www.daily-life-hacks.com/costco-rotisserie-chicken-meal-ideas-dinner/,https://www.daily-life-hacks.com/costco-rotisserie-chicken-meal-ideas-dinner/,200,https://www.daily-life-hacks.com/costco-rotisserie-chicken-meal-ideas-dinner/,"index, follow, max-image-preview:large, max-snippet:-1",P2,article,validate_current_301_to_canonical_url,costco-rotisserie-chicken-meal-ideas-dinner,7,,34.71,Live URL now redirects to the canonical target.,
03_validate_redirect_fix_in_gsc,Coverage issue > Validate fix when this URL appears in GSC,https://www.daily-life-hacks.com/selenium-containing-foods-easy-ways,301,https://www.daily-life-hacks.com/selenium-containing-foods-easy-ways/,https://www.daily-life-hacks.com/selenium-containing-foods-easy-ways/,200,https://www.daily-life-hacks.com/selenium-containing-foods-easy-ways/,"index, follow, max-image-preview:large, max-snippet:-1",P2,article,validate_current_301_to_canonical_url,selenium-containing-foods-easy-ways,5,,10.0,Live URL now redirects to the canonical target.,
03_validate_redirect_fix_in_gsc,Coverage issue > Validate fix when this URL appears in GSC,https://www.daily-life-hacks.com/high-fiber-hummus-recipe-homemade,301,https://www.daily-life-hacks.com/high-fiber-hummus-recipe-homemade/,https://www.daily-life-hacks.com/high-fiber-hummus-recipe-homemade/,200,https://www.daily-life-hacks.com/high-fiber-hummus-recipe-homemade/,"index, follow, max-image-preview:large, max-snippet:-1",P2,article,validate_current_301_to_canonical_url,high-fiber-hummus-recipe-homemade,3,,7.67,Live URL now redirects to the canonical target.,
03_validate_redirect_fix_in_gsc,Coverage issue > Validate fix when this URL appears in GSC,https://www.daily-life-hacks.com/high-fiber-pizza-crust-cauliflower,301,https://www.daily-life-hacks.com/high-fiber-pizza-crust-cauliflower/,https://www.daily-life-hacks.com/high-fiber-pizza-crust-cauliflower/,200,https://www.daily-life-hacks.com/high-fiber-pizza-crust-cauliflower/,"index, follow, max-image-preview:large, max-snippet:-1",P2,article,validate_current_301_to_canonical_url,high-fiber-pizza-crust-cauliflower,3,,8.0,Live URL now redirects to the canonical target.,
03_validate_redirect_fix_in_gsc,Coverage issue > Validate fix when this URL appears in GSC,https://www.daily-life-hacks.com/how-to-season-cast-iron-skillet-properly,301,https://www.daily-life-hacks.com/how-to-season-cast-iron-skillet-properly/,https://www.daily-life-hacks.com/how-to-season-cast-iron-skillet-properly/,200,https://www.daily-life-hacks.com/how-to-season-cast-iron-skillet-properly/,"index, follow, max-image-preview:large, max-snippet:-1",P2,article,validate_current_301_to_canonical_url,how-to-season-cast-iron-skillet-properly,2,,8.0,Live URL now redirects to the canonical target.,
03_validate_redirect_fix_in_gsc,Coverage issue > Validate fix when this URL appears in GSC,https://www.daily-life-hacks.com/how-to-store-homemade-salad-dressing-safely,301,https://www.daily-life-hacks.com/how-to-store-homemade-salad-dressing-safely/,https://www.daily-life-hacks.com/how-to-store-homemade-salad-dressing-safely/,200,https://www.daily-life-hacks.com/how-to-store-homemade-salad-dressing-safely/,"index, follow, max-image-preview:large, max-snippet:-1",P2,article,validate_current_301_to_canonical_url,how-to-store-homemade-salad-dressing-safely,2,,10.0,Live URL now redirects to the canonical target.,
03_validate_redirect_fix_in_gsc,Coverage issue > Validate fix when this URL appears in GSC,https://www.daily-life-hacks.com/tag/reducefoodwaste/,301,https://www.daily-life-hacks.com/how-to-reduce-food-waste-at-home-easy-tips/,https://www.daily-life-hacks.com/how-to-reduce-food-waste-at-home-easy-tips/,200,https://www.daily-life-hacks.com/how-to-reduce-food-waste-at-home-easy-tips/,"index, follow, max-image-preview:large, max-snippet:-1",P2,legacy_redirect,validate_legacy_301_target,how-to-reduce-food-waste-at-home-easy-tips,2,,9.5,Live URL now redirects to the canonical target.,
03_validate_redirect_fix_in_gsc,Coverage issue > Validate fix when this URL appears in GSC,https://www.daily-life-hacks.com/30-day-high-fiber-challenge-meal-plan,301,https://www.daily-life-hacks.com/30-day-high-fiber-challenge-meal-plan/,https://www.daily-life-hacks.com/30-day-high-fiber-challenge-meal-plan/,200,https://www.daily-life-hacks.com/30-day-high-fiber-challenge-meal-plan/,"index, follow, max-image-preview:large, max-snippet:-1",P2,article,validate_current_301_to_canonical_url,30-day-high-fiber-challenge-meal-plan,1,,10.0,Live URL now redirects to the canonical target.,
03_validate_redirect_fix_in_gsc,Coverage issue > Validate fix when this URL appears in GSC,https://www.daily-life-hacks.com/easy-sourdough-discard-recipes-beginners,301,https://www.daily-life-hacks.com/easy-sourdough-discard-recipes-beginners/,https://www.daily-life-hacks.com/easy-sourdough-discard-recipes-beginners/,200,https://www.daily-life-hacks.com/easy-sourdough-discard-recipes-beginners/,"index, follow, max-image-preview:large, max-snippet:-1",P2,article,validate_current_301_to_canonical_url,easy-sourdough-discard-recipes-beginners,1,,100.0,Live URL now redirects to the canonical target.,
03_validate_redirect_fix_in_gsc,Coverage issue > Validate fix when this URL appears in GSC,https://www.daily-life-hacks.com/sheet-pan-salmon-and-vegetables-30-minutes,301,https://www.daily-life-hacks.com/sheet-pan-salmon-and-vegetables-30-minutes/,https://www.daily-life-hacks.com/sheet-pan-salmon-and-vegetables-30-minutes/,200,https://www.daily-life-hacks.com/sheet-pan-salmon-and-vegetables-30-minutes/,"index, follow, max-image-preview:large, max-snippet:-1",P2,article,validate_current_301_to_canonical_url,sheet-pan-salmon-and-vegetables-30-minutes,1,,8.0,Live URL now redirects to the canonical target.,
03_validate_redirect_fix_in_gsc,Coverage issue > Validate fix when this URL appears in GSC,https://www.daily-life-hacks.com/tag/crockpot-meals/,301,https://www.daily-life-hacks.com/cheap-crockpot-meals-large-families/,https://www.daily-life-hacks.com/cheap-crockpot-meals-large-families/,200,https://www.daily-life-hacks.com/cheap-crockpot-meals-large-families/,"index, follow, max-image-preview:large, max-snippet:-1",P2,legacy_redirect,validate_legacy_301_target,cheap-crockpot-meals-large-families,1,,8.0,Live URL now redirects to the canonical target.,
03_validate_redirect_fix_in_gsc,Coverage issue > Validate fix when this URL appears in GSC,https://www.daily-life-hacks.com/tag/homecooking/,301,https://www.daily-life-hacks.com/recipes/,https://www.daily-life-hacks.com/recipes/,200,https://www.daily-life-hacks.com/recipes/,"index, follow, max-image-preview:large, max-snippet:-1",P2,legacy_redirect,validate_legacy_301_target,recipes,1,,7.0,Live URL now redirects to the canonical target.,
03_validate_redirect_fix_in_gsc,Coverage issue > Validate fix when this URL appears in GSC,https://www.daily-life-hacks.com/tag/kitchenbasics/,301,https://www.daily-life-hacks.com/tips/,https://www.daily-life-hacks.com/tips/,200,https://www.daily-life-hacks.com/tips/,"index, follow, max-image-preview:large, max-snippet:-1",P2,legacy_redirect,validate_legacy_301_target,tips,1,,9.0,Live URL now redirects to the canonical target.,
03_validate_redirect_fix_in_gsc,Coverage issue > Validate fix when this URL appears in GSC,https://www.daily-life-hacks.com/tag/quickmeals/,301,https://www.daily-life-hacks.com/recipes/,https://www.daily-life-hacks.com/recipes/,200,https://www.daily-life-hacks.com/recipes/,"index, follow, max-image-preview:large, max-snippet:-1",P2,legacy_redirect,validate_legacy_301_target,recipes,1,,6.0,Live URL now redirects to the canonical target.,
03_validate_redirect_fix_in_gsc,Coverage issue > Validate fix when this URL appears in GSC,https://www.daily-life-hacks.com/tag/stuffedmushrooms/,301,https://www.daily-life-hacks.com/stuffed-portobello-mushrooms-quinoa-spinach-feta/,https://www.daily-life-hacks.com/stuffed-portobello-mushrooms-quinoa-spinach-feta/,200,https://www.daily-life-hacks.com/stuffed-portobello-mushrooms-quinoa-spinach-feta/,"index, follow, max-image-preview:large, max-snippet:-1",P2,legacy_redirect,validate_legacy_301_target,stuffed-portobello-mushrooms-quinoa-spinach-feta,1,,8.0,Live URL now redirects to the canonical target.,
03_validate_redirect_fix_in_gsc,Coverage issue > Validate fix when this URL appears in GSC,https://www.daily-life-hacks.com/tips/1/,301,https://www.daily-life-hacks.com/tips/,https://www.daily-life-hacks.com/tips/,200,https://www.daily-life-hacks.com/tips/,"index, follow, max-image-preview:large, max-snippet:-1",P2,legacy_redirect,validate_legacy_301_target,tips,1,,7.0,Live URL now redirects to the canonical target.,
05_expected_noindex_no_gsc_fix,Do not validate as fixed unless policy changes,https://www.daily-life-hacks.com/tips-feeding-picky-eaters-on-budget/,200,,https://www.daily-life-hacks.com/tips-feeding-picky-eaters-on-budget/,200,https://www.daily-life-hacks.com/high-fiber-smoothies-for-kids-picky-eaters/,"noindex, follow",P1,alias,confirm_noindex_and_canonical_target,high-fiber-smoothies-for-kids-picky-eaters,4,,4.75,URL is intentionally noindex or canonicalized; this is expected search cleanup noise.,
05_expected_noindex_no_gsc_fix,Do not validate as fixed unless policy changes,https://daily-life-hacks.com/30-day-high-fiber-challenge-meal-plan-guide,301,https://www.daily-life-hacks.com/30-day-high-fiber-challenge-meal-plan-guide/,https://www.daily-life-hacks.com/30-day-high-fiber-challenge-meal-plan-guide/,200,https://www.daily-life-hacks.com/30-day-high-fiber-challenge-meal-plan/,"noindex, follow",P1,alias,confirm_noindex_and_canonical_target,30-day-high-fiber-challenge-meal-plan,,3,,URL is intentionally noindex or canonicalized; this is expected search cleanup noise.,
05_expected_noindex_no_gsc_fix,Do not validate as fixed unless policy changes,https://daily-life-hacks.com/how-to-revive-wilted-salad-greens,301,https://www.daily-life-hacks.com/how-to-revive-wilted-salad-greens/,https://www.daily-life-hacks.com/how-to-revive-wilted-salad-greens/,200,https://www.daily-life-hacks.com/how-to-revive-wilted-lettuce-and-greens/,"noindex, follow",P1,alias,confirm_noindex_and_canonical_target,how-to-revive-wilted-lettuce-and-greens,,3,,URL is intentionally noindex or canonicalized; this is expected search cleanup noise.,
05_expected_noindex_no_gsc_fix,Do not validate as fixed unless policy changes,https://daily-life-hacks.com/whats-the-best-way-to-freeze-bananas-for-smoothies,301,https://www.daily-life-hacks.com/whats-the-best-way-to-freeze-bananas-for-smoothies/,https://www.daily-life-hacks.com/whats-the-best-way-to-freeze-bananas-for-smoothies/,200,https://www.daily-life-hacks.com/how-to-freeze-bananas-for-smoothies/,"noindex, follow",P1,alias,confirm_noindex_and_canonical_target,how-to-freeze-bananas-for-smoothies,,3,,URL is intentionally noindex or canonicalized; this is expected search cleanup noise.,
05_expected_noindex_no_gsc_fix,Do not validate as fixed unless policy changes,https://daily-life-hacks.com/whole-wheat-vs-regular-pasta-fiber,301,https://www.daily-life-hacks.com/whole-wheat-vs-regular-pasta-fiber/,https://www.daily-life-hacks.com/whole-wheat-vs-regular-pasta-fiber/,200,https://www.daily-life-hacks.com/whole-wheat-vs-white-pasta-fiber/,"noindex, follow",P1,alias,confirm_noindex_and_canonical_target,whole-wheat-vs-white-pasta-fiber,,2,,URL is intentionally noindex or canonicalized; this is expected search cleanup noise.,
05_expected_noindex_no_gsc_fix,Do not validate as fixed unless policy changes,https://www.daily-life-hacks.com/baking-sheet-liners-parchment-silicone-when-to-use-v5/,200,,https://www.daily-life-hacks.com/baking-sheet-liners-parchment-silicone-when-to-use-v5/,200,https://www.daily-life-hacks.com/baking-sheet-liners-parchment-silicone-when-to-use/,"noindex, follow",P1,router_variant,confirm_noindex_and_canonical_target,baking-sheet-liners-parchment-silicone-when-to-use,2,,31.5,URL is intentionally noindex or canonicalized; this is expected search cleanup noise.,
05_expected_noindex_no_gsc_fix,Do not validate as fixed unless policy changes,https://www.daily-life-hacks.com/lentil-curry-high-fiber-vegan-dinner-v4/,200,,https://www.daily-life-hacks.com/lentil-curry-high-fiber-vegan-dinner-v4/,200,https://www.daily-life-hacks.com/lentil-curry-high-fiber-vegan-dinner/,"noindex, follow",P1,router_variant,confirm_noindex_and_canonical_target,lentil-curry-high-fiber-vegan-dinner,2,,18.0,URL is intentionally noindex or canonicalized; this is expected search cleanup noise.,
05_expected_noindex_no_gsc_fix,Do not validate as fixed unless policy changes,https://www.daily-life-hacks.com/tag/healthy-egg-sandwich,301,https://www.daily-life-hacks.com/tag/healthy-egg-sandwich/,https://www.daily-life-hacks.com/tag/healthy-egg-sandwich/,200,https://www.daily-life-hacks.com/tag/healthy-egg-sandwich/,"noindex, follow",P1,tag,confirm_noindex_and_canonical_target,tag,2,,56.5,URL is intentionally noindex or canonicalized; this is expected search cleanup noise.,
05_expected_noindex_no_gsc_fix,Do not validate as fixed unless policy changes,https://www.daily-life-hacks.com/tag/summer,301,https://www.daily-life-hacks.com/tag/summer/,https://www.daily-life-hacks.com/tag/summer/,200,https://www.daily-life-hacks.com/tag/summer/,"noindex, follow",P1,tag,confirm_noindex_and_canonical_target,tag,2,,3.5,URL is intentionally noindex or canonicalized; this is expected search cleanup noise.,
05_expected_noindex_no_gsc_fix,Do not validate as fixed unless policy changes,https://www.daily-life-hacks.com/tag/toppings/,200,,https://www.daily-life-hacks.com/tag/toppings/,200,https://www.daily-life-hacks.com/tag/toppings/,"noindex, follow",P1,tag,confirm_noindex_and_canonical_target,tag,2,,4.5,URL is intentionally noindex or canonicalized; this is expected search cleanup noise.,
05_expected_noindex_no_gsc_fix,Do not validate as fixed unless policy changes,https://daily-life-hacks.com/best-high-fiber-hummus-recipe-homemade,301,https://www.daily-life-hacks.com/best-high-fiber-hummus-recipe-homemade/,https://www.daily-life-hacks.com/best-high-fiber-hummus-recipe-homemade/,200,https://www.daily-life-hacks.com/high-fiber-hummus-recipe-homemade/,"noindex, follow",P1,alias,confirm_noindex_and_canonical_target,high-fiber-hummus-recipe-homemade,,1,,URL is intentionally noindex or canonicalized; this is expected search cleanup noise.,
05_expected_noindex_no_gsc_fix,Do not validate as fixed unless policy changes,https://daily-life-hacks.com/high-fiber-gluten-free-bread-recipe-v2,301,https://www.daily-life-hacks.com/high-fiber-gluten-free-bread-recipe-v2,https://www.daily-life-hacks.com/high-fiber-gluten-free-bread-recipe-v2,200,https://www.daily-life-hacks.com/high-fiber-gluten-free-bread-recipe/,"noindex, follow",P1,router_variant,confirm_noindex_and_canonical_target,high-fiber-gluten-free-bread-recipe,,1,,URL is intentionally noindex or canonicalized; this is expected search cleanup noise.,
05_expected_noindex_no_gsc_fix,Do not validate as fixed unless policy changes,https://daily-life-hacks.com/high-fiber-smoothies-for-kids-picky-eaters-guide,301,https://www.daily-life-hacks.com/high-fiber-smoothies-for-kids-picky-eaters-guide/,https://www.daily-life-hacks.com/high-fiber-smoothies-for-kids-picky-eaters-guide/,200,https://www.daily-life-hacks.com/high-fiber-smoothies-for-kids-picky-eaters/,"noindex, follow",P1,alias,confirm_noindex_and_canonical_target,high-fiber-smoothies-for-kids-picky-eaters,,1,,URL is intentionally noindex or canonicalized; this is expected search cleanup noise.,
05_expected_noindex_no_gsc_fix,Do not validate as fixed unless policy changes,https://daily-life-hacks.com/how-to-properly-store-fruits-and-vegetables-in-the-fridge,301,https://www.daily-life-hacks.com/how-to-properly-store-fruits-and-vegetables-in-the-fridge/,https://www.daily-life-hacks.com/how-to-properly-store-fruits-and-vegetables-in-the-fridge/,200,https://www.daily-life-hacks.com/how-to-store-fruits-and-vegetables-properly/,"noindex, follow",P1,alias,confirm_noindex_and_canonical_target,how-to-store-fruits-and-vegetables-properly,,1,,URL is intentionally noindex or canonicalized; this is expected search cleanup noise.,
05_expected_noindex_no_gsc_fix,Do not validate as fixed unless policy changes,https://daily-life-hacks.com/nutritional-benefits-cold-pasta-salad-resistant-starch,301,https://www.daily-life-hacks.com/nutritional-benefits-cold-pasta-salad-resistant-starch/,https://www.daily-life-hacks.com/nutritional-benefits-cold-pasta-salad-resistant-starch/,200,https://www.daily-life-hacks.com/easy-cold-summer-pasta-salad-potlucks/,"noindex, follow",P1,alias,confirm_noindex_and_canonical_target,easy-cold-summer-pasta-salad-potlucks,,1,,URL is intentionally noindex or canonicalized; this is expected search cleanup noise.,
05_expected_noindex_no_gsc_fix,Do not validate as fixed unless policy changes,https://daily-life-hacks.com/whole-wheat-pasta-vs-white-pasta-fiber,301,https://www.daily-life-hacks.com/whole-wheat-pasta-vs-white-pasta-fiber/,https://www.daily-life-hacks.com/whole-wheat-pasta-vs-white-pasta-fiber/,200,https://www.daily-life-hacks.com/whole-wheat-vs-white-pasta-fiber/,"noindex, follow",P1,alias,confirm_noindex_and_canonical_target,whole-wheat-vs-white-pasta-fiber,,1,,URL is intentionally noindex or canonicalized; this is expected search cleanup noise.,
05_expected_noindex_no_gsc_fix,Do not validate as fixed unless policy changes,https://www.daily-life-hacks.com/disclaimer/,200,,https://www.daily-life-hacks.com/disclaimer/,200,https://www.daily-life-hacks.com/disclaimer/,"noindex, follow",P1,utility,confirm_noindex_and_canonical_target,disclaimer,1,,2.0,URL is intentionally noindex or canonicalized; this is expected search cleanup noise.,
05_expected_noindex_no_gsc_fix,Do not validate as fixed unless policy changes,https://www.daily-life-hacks.com/tag/black/,200,,https://www.daily-life-hacks.com/tag/black/,200,https://www.daily-life-hacks.com/tag/black/,"noindex, follow",P1,tag,confirm_noindex_and_canonical_target,tag,1,,5.0,URL is intentionally noindex or canonicalized; this is expected search cleanup noise.,
05_expected_noindex_no_gsc_fix,Do not validate as fixed unless policy changes,https://www.daily-life-hacks.com/tag/dressings/,200,,https://www.daily-life-hacks.com/tag/dressings/,200,https://www.daily-life-hacks.com/tag/dressings/,"noindex, follow",P1,tag,confirm_noindex_and_canonical_target,tag,1,,8.0,URL is intentionally noindex or canonicalized; this is expected search cleanup noise.,
05_expected_noindex_no_gsc_fix,Do not validate as fixed unless policy changes,https://www.daily-life-hacks.com/tag/freezer,301,https://www.daily-life-hacks.com/tag/freezer/,https://www.daily-life-hacks.com/tag/freezer/,200,https://www.daily-life-hacks.com/tag/freezer/,"noindex, follow",P1,tag,confirm_noindex_and_canonical_target,tag,1,,5.0,URL is intentionally noindex or canonicalized; this is expected search cleanup noise.,
